;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
10:08:02.966000;Ruhezustand;0.000;0.000;0.000;0.000;0.000;0.000
10:08:05.623000;S2: Warten auf Teller;120.370;120.050;0.000;0.000;0.000;0.000
10:08:06.319000;S2: Schliessen;120.370;120.050;0.000;0.000;0.000;0.000
10:08:06.988000;S2: Bearbeitung Heizen;120.370;120.020;0.000;0.000;0.000;0.000
10:08:06.989000;S2: Bearbeitung Heizen;120.370;120.020;0.000;0.000;0.000;0.000
10:08:06.990000;S2: Bearbeitung Heizen;120.370;120.020;0.000;0.000;0.000;0.000
10:08:06.991000;S2: Bearbeitung Heizen;120.370;120.020;0.000;0.000;0.000;0.000
10:08:06.992000;S2: Bearbeitung Heizen;120.370;120.020;0.000;0.000;0.000;0.000
10:08:06.993000;S2: Bearbeitung Heizen;120.370;120.020;0.000;0.000;0.000;0.000
10:08:06.994000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:06.995000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:06.996000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:06.997000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:06.998000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:06.999000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.001000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.002000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.003000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.004000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.005000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.006000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.007000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.008000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.009000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.010000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.011000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.012000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.013000;S2: Bearbeitung Heizen;120.370;120.000;0.000;0.000;0.000;0.000
10:08:07.014000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.015000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.016000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.017000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.018000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.019000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.020000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.021000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.022000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.023000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.024000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.025000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.026000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.027000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.028000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.029000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.030000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.031000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.032000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.033000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.034000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.035000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.036000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.037000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.038000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.039000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.040000;S2: Bearbeitung Heizen;120.380;120.000;0.000;0.000;0.000;0.000
10:08:07.041000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.042000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.043000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.044000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.045000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.046000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.047000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.048000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.049000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.050000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.051000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.052000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.053000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.054000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.055000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.056000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.057000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.058000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.059000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.060000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.061000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.062000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.063000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.064000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.065000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.066000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.067000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.068000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.069000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.070000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.071000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.072000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.073000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.074000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.075000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.076000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.077000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.078000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.079000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.080000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.081000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.082000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.083000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.084000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
10:08:07.085000;S2: Bearbeitung Heizen;120.380;120.020;0.000;0.000;0.000;0.000
