;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
12:53:44.231000;Ruhezustand;0.000;0.000;0.000;0.000;0.000;0.000
12:53:45.668000;S2: Warten auf Teller;55.170;55.340;0.000;0.000;0.000;0.000
12:53:46.366000;S2: Schliessen;55.140;55.330;0.000;0.000;0.000;0.000
12:53:47.033000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.034000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.035000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.036000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.037000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.038000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.039000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.040000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.041000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.042000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.043000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.044000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.045000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.046000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.047000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.048000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.049000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.050000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.051000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.052000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.053000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.054000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.055000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.056000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.057000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.058000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.059000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.060000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.061000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.062000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.063000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.064000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.065000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.066000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.067000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.068000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.069000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.070000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.071000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.072000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.073000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.074000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.075000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.076000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.077000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.078000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.079000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.080000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.081000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.082000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.083000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.084000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.085000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.086000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.087000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.088000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.089000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.090000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.091000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.092000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.093000;S2: Bearbeitung Heizen;55.120;55.350;0.000;0.000;0.000;0.000
12:53:47.094000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.095000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.096000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.097000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.098000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.099000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.100000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.101000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.102000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.103000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.104000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.105000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.106000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.107000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.108000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.109000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.110000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.111000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.112000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.113000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.114000;S2: Bearbeitung Heizen;55.120;55.340;0.000;0.000;0.000;0.000
12:53:47.115000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.116000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.117000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.118000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.119000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.120000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.121000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.122000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.123000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.124000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.125000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.126000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.127000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.128000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.129000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.130000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.131000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.132000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.133000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.134000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.135000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.136000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.137000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.138000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.139000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.140000;S2: Bearbeitung Heizen;55.140;55.340;0.000;0.000;0.000;0.000
12:53:47.141000;S2: Bearbeitung Heizen;55.140;55.350;0.000;0.000;0.000;0.000
