;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
09:22:21.177000;Ruhezustand;0.000;0.000;0.000;0.000;0.000;0.000
09:22:21.793000;S2: Warten auf Teller;100.220;99.960;0.000;0.000;0.000;0.000
09:22:22.490000;S2: Schliessen;100.220;99.900;0.000;0.000;0.000;0.000
09:22:23.167000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.168000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.169000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.170000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.171000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.172000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.173000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.174000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.175000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.176000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.177000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.178000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.179000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.180000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.181000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.182000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.183000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.184000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.185000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.186000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.187000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.188000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.189000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.190000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.191000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.192000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.193000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.194000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.195000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.196000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.197000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.198000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.199000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.200000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.201000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.202000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.203000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.204000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.205000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.206000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.207000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.208000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.209000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.210000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.211000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.212000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.213000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
